1;1;+ RESILIENT;Mediterranean Open REsouRcEs for Social Innovation of SociaLly ResponsIve ENTerprises;"+RESILIENT puts together a 4-helix partnership of 8 MED countries to tackle the need for innovation conducive to increased socially-responsive competitiveness of SMEs & stimulate new jobs, especially for companies operating in the social economy. It aims to kickstart a process of policy change at regional level in the involved areas resulting in the integration of successful elements into the new Cohesion policy (EU2020+). The overall objective is to positively influence, adapt/change the different structural elements of policy governing ""clusters with high social vocation and responsiveness"" (SVRC) by leveraging on innovation dynamics led by technology, open data & successful models with social relevance & impact, creating socially-responsive value chains at a transnational level. SVRC are usually codified only at local level, so the project addresses the transnational dimension as networking and capacity building approach to achieve a critical mass, increase horizontal opportunities for SMEs, mobility, employability and for scaling up into Cohesion Policy and Funds. It is an integrated project that establishes a structural approach to policy & practice improvement of emerging dynamics in social innovation through an overarching process based on the intertwined use of open data & the creation of a transnational socially-responsive value chain. This includes studying existing initiatives, adapting and testing, with the final objective of capitalizing them in the MED area.";Veneto Region ñ Operational Unit for EU and State Relations;ITALY;30123;2nd call;01/02/2018;31/01/2022;Integrated project;2.667.650,20;119.100,13;3.278.529,80;85%;Social and Creative
1;1;4helix+;Empowering the 4 helix of MED maritime clusters through an open source/knowledge sharing and community-based approach in favour of MED blue growth;The 4helix+ project aims at stimulating, coaching and funding cross-sectoral & trans-boundary innovation of the MED key sector ìBlue Growthî, which deserves to be better supported, being an economic driver and a potential generator of development & jobs. Main change sought is to improve basic conditions for bridging the gap among the MED maritime clusters and within their 4helixes thanks to the collaboration with the non-institutional new agents of innovation such as fablabs, co-working spaces, makerspaces, creative hubs, etc. For sustaining innovation in Blue Growth, beside typical research facilities, it is imperative to favour its partnership with and within open spaces for exploratory interaction and creativity that may find room in this new kind of innovation agents. This innovative partnership is also empowered by the groundbreaking combination with Cultural&Creative Industries knowledge and expertise. The enhanced 8 MED maritime regional clusters (Lisbon Region, Andaluzia, Cataluna, PACA region, Marche, Zadar County, Central Macedonia and Durres, Vlora, Saranda & Shengjin coastal areas in Albania) can, thus, be fruitfully involved in the testing, evaluation and regional/national transferring of a transnational innovation process according to an open source, knowledge sharing and community-based approach. 500.000,00Ä out of 2.193.983,75Ä ñ the project overall amount ñ are allocated to innovation vouchers for MED blue SMEs/startups.;SVIM-SVILUPPO MARCHE SPA;ITALY;60125;2nd call;01/02/2018;30/07/2020;Testing;1.720.636,95;144.249,25;2.193.983,75;85%;Blue Growth
3;2;ACT4LITTER;Joint measures to preserve natural ecosystems from marine litter in the Mediterranean Protected Areas;Many Mediterranean Marine Protected Areas (MPA) affirm that Marine Litter (ML) represents one of the major threats for the protection of biodiversity and marine ecosystems and confirmed the lack of knowledge and skills on how to effectively tackle this issue at their level.  ML is a priority of the Euro-Mediterranean policies for sustainable development. Recently, many actions have been implemented but these policy commitments still need to be translated into the MPA context. ACT4LITTER will aim at reviewing the most promising proposed measures and select the ones that could be implemented in the MPA , considering particularly  the ecosystem services. The selection of measures will result in the development of MPA-specific action plans whose implementation could be the object of a future project. In addition, those plans will be complemented, by a realistic and operational governance plan at transnational level. MPA stakeholders and key experts of ML value chain will be involved all through the process in order to validate the outputs together. The action plans will have a strong focus on preventive measures, using circular economy and sustainable consumption and production approaches. The issue of ML is global but MPAs are directly affected by its increasing amount, restraining highly the achievement of the conservation goals.;Catalan Waste Agency - Regional Activity Center for Sustainable Consumption and Production;SPAIN;8017;1st call;01/02/2017;31/10/2018;Studying;457.767,14;0,00;538.549,58;85%;Biodiversity Protection
3;1;ALTER ECO;Alternative tourist strategies to enhance the local sustainable development of tourism by promoting Mediterranean Identity;The Mediterranean is under threat due to the inappropriate practice and development associated with mass tourism. Consequently, areas of high tourist pressure in coastal cities are reaching their limit on carrying capacity, with a direct impact not only on the urban environment but also on key elements that define MED Culture. In this context, ALTER ECO enhances the local sustainable development of tourism by promoting Mediterranean identity, through the implementation of alternative tourist strategies in six pilots co-designed and implemented by public and private stakeholders. The project provides the opportunity of testing, in representative MED cities, used as living lab, existing methodologies and tools arisen in previous high impact projects in the field of sustainable tourism or proposed by key stakeholders, with the aim of reaching holistic and realistic tourist strategies at local and regional level that allow transferability in the MED territory. Project results will support policy makers to make more informed and integrated decisions for the governance and management of tourism in the Mediterranean and at the same time will enhance the coordination of actions between public and private stakeholders towards the implementation of the raised strategies in order to create new business opportunities. ALTER ECO will contribute to improve knowledge and decision making capacities, including a better use of observation, monitoring and planning in the field of sustainable tourism.;Valencia Institute of Building;SPAIN;46018;1st call;01/11/2016;30/04/2019;Testing;1.949.585,49;0,00;2.293.630,00;85%;Sustainable Tourism
3;2;AMAre;Actions for Marine Protected Areas;"In the Mediterranean Sea, the intensive use of maritime space calls for integrated management to avoid cumulative impacts and user conflicts. Maritime Spatial Planning (MSP) ñ the harmonisation of human activities in marine areas ñ is considered a powerful approach to reach these goals. However, most Mediterranean countries have not yet gone through this process. The objectives of this project are: 1 ñ to develop shared methodologies and geospatial tools for multiple stressors assessment, coordinated environmental monitoring, multi criteria analyses and stakeholders' engagements;  2 ñ to translate these guidelines into concrete pilot actions and coordinated strategies in selected Marine Protected Areas (MPAs) to solve conflict hot spots that affect marine biodiversity and the services it provides. Transnational cooperation and regulations, development of coordinated best practices to deal with present and future drivers of changes in biodiversity and ecosystem services, coordinated monitoring, data access to share information and concrete stakeholder and users' involvement are the expected results. The final aim is to scale up strategies and recommendations at transnational level adopting an ecosystem-based approach to MSP considering the goals of the Marine Strategy Framework Directive (MSFD) across MPAs. MPA managers, public institutions, and key stakeholders working within the MPAs will benefit from the results of the project.";National Inter-University Consortium for Marine Sciences;ITALY;196;1st call;01/11/2016;31/10/2019;Studying and Testing;2.263.629,33;0,00;2.663.093,33;85%;Biodiversity Protection
1;1;ARISTOIL;Reinforcement of Mediterranean olive oil sector competitiveness through development and application of innovative production and quality control methodologies related to olive oil health protecting properties;The Mediterranean region is the main world producer of olive oil, with 95% of the total world's olive oil production. It is mainly produced in Greece, and the Peloponnese region altogether is responsible for 65% of Greek olive oil. Furthermore, the Italian regions of Sicily, Calabria and Puglia and Andalusia in Spain, have the biggest olive growing area on the planet. The main common challenge for all participating countries in the project is the low average price of olive oil in comparison to the production cost and the strong competition with the non-Mediterranean seed oil sector. The producers in the Mediterranean are under pressure either to reduce even more the cost of production or to increase the value or the demand for olive oil in the international market in order to maintain the viability and sustainability of the olive tree cultivation and the olive oil production. The main objective of ARISTOIL is to reinforce the Mediterranean olive oil sector competitiveness, through the development and application of innovative production and quality control methodologies leading to olive oil with enhanced health protecting properties (as recognized by EU 432/2012 regulation). The development of a Mediterranean Cluster for olive oil producers and businesses combined with specialised training, the development of innovative methods for identifying the phenolic ingredients of the oil as well as special product certification to support oil producers' is the mixture, which will lead to the project's objective.;EGTC Efxini Poli - SolidarCity NETWORK;GREECE;13674;1st call;01/11/2016;31/10/2019;Studying and Testing;1.706.970,00;0,00;2.008.200,00;85%;Green Growth
3;1;BleuTourMed_C3;BleuTourMed_C3: Maritime and Coastal SustainaBLE Tourism in the Mediterranean - Community building, Communication and Capitalisation;Built on a transnational partnership with strong knowledge and experience on integrated coastal management and sustainable tourism policies, BleuTourMed aims at supporting and ensuring synergies between the modular projects selected under the SO3.1 with the objective of creating a cluster of projects able to enhance jointly solutions for the protection and promotion of natural and cultural resources in the Mediterranean area through a coherent strategy of Community Building, Communication and Capitalisation.    The project will develop monitoring and community building activities aiming at collecting the main results of the Modular Projects (MPs) as at stimulating the sharing and co-ownership of data and results among them. It will be also in charge of processing and disseminating these results for the implementation of the policy framework regarding Coastal and Maritime sustainable tourism: e.g. MSP, ICZM, UNEP/MAP MSSD, Blue Gtrowth Strategy, Blue Med initiative, Integrated Regional Development policies on sustainable tourism. The project will develop two main channels for the dissemination of the projectsí cluster outputs  the first will be at a programme level, technically with the JTS and creating synergies with other axes, specifically with SO3.2 and axis 4, and the second to target Mediterranean and EU decisionñmakers and stakeholders.;National Inter-University Consortium for Marine Sciences;ITALY;43003;2nd call;01/11/2016;31/10/2019;Horizontal project;1.407.523,80;0,00;1.655.910,35;85%;Sustainable Tourism
3;1;BLUEISLANDS;Seasonal variation of waste as effect of tourism;Blue Islands Project brings together 14 partners from 8 countries in a systematic effort to properly identify, address and mitigate the effects of the seasonal variation of waste generation on MED islands as an effect of tourism.  The issue has been a vexing problem for years but it has never before been approached methodically: The quantity and composition of waste generated over a twelve-month period on nine MED islands will be measured and the correlation between the quantified waste generated and both the number of tourists and the presence of litter in the coastal environment will be examined. At the same time, the existing waste management structure and followed respective practices will be assessed. Based on the report prepared from the results derived from all nine islands a multidimensional tool will be formulated, encompassing action plans, through which this common problematic phenomenon can most effectively be addressed. Over a following twelve-month period the tool will be implemented with selected action plans for each participating island, while the efficacy of each action plan will be evaluated.  Eventually, a final report entailing all derived data and experience will showcase the most efficient and successful ways to turn a difficult and burdensome issue for MED islands' communities into a means fueling the establishment of circular economies while preserving and perpetuating sustainable tourism to the Mediterranean.;Ministry of Agriculture, Rural Development and Environment - Department of Environment;CYPRUS;2025;1st call;01/11/2016;31/10/2019;Studying and Testing;2.342.022,35;0,00;2.755.320,41;85%;Sustainable Tourism
3;1;BLUEMED;Plan/test/coordinate Underwater Museums, Diving Parks and Knowledge Awareness Centres in order to support sustainable and responsible tourism development and promote Blue growth in coastal areas and islands of the Mediterranean;BLUEMED aims to support competent government authorities develop strategies, plans and policies for local coastal and island economies of the Mediterranean region in adopting a sustainable and responsible model for tourism development. This will be achieved by planning, testing and coordinating Underwater Museums, Diving Parks and Knowledge Awareness Centres (KACs). Main objective is the valorisation and protection of underwater natural and cultural heritage in accordance with UNESCO 2001, the raising of public awareness and tourism attractiveness. Main focus is on: a) a process scheme for supplying local/regional authorities with a multi-disciplinary plan (management models, innovative technologies) for Underwater Museums, Diving Parks and Knowledge Awareness Centres to be developed in Capo Rizutto, Baia bay, Western Pagasitikos/Sporades and Cavtat sites (policy recommendations, management practices, networking and promotion)  b) promoting innovation in the diving industry and improving divers experience through innovative diving services and technologies  c) attracting an important part of the increasing number of people who choose diving tourism  d) introducing the wider public to underwater cultural heritage by means of 3D immersive visualisation in museum exhibitions and KACs  e) setting up ëUnderwater Natural and Cultural Routes in the Mediterranean' web-based platform for a unified tourism promotion and networking of MED underwater natural and cultural heritage sites.;Region of Thessaly - Regional Development Fund;GREECE;41110;1st call;01/11/2016;31/10/2019;Studying and Testing;2.377.916,65;0,00;2.797.549,00;85%;Sustainable Tourism
1;1;CAMARG;Clusters of Innovative Zero-km Agrofood Marketplaces for Growth;High-quality zero-km agrifood products directly on your table at the same price of standard-quality mass retail stuff. This is the aim of the CAMARG project testing a brand new and easy web-based service to support clusters of small local producers of agrifood excellences in organising self-sustaining supply networks able to deliver daily the selected food to the consumer locations.  The CAMARG actors are then producers, namely farmers, food artisans and small retailers, feeding the eCatalogue with their offer  customers, namely elderly, sick or busy people as well as tourists, willing to have the bought food delivered at home, office or hotel  and carriers, namely small hauliers provided with cooled vans, covering the picking and delivery routes.  The deployment of the CAMARG service at the local scale will enable producers to finally overcome the hard market competition with the emerging mass retail business model asking for large quantities of few standard-quality product types, while they are normally small sized, many in number and each able to supply limited quantities of very high-quality selected products.  Of course different regions present different conditions for the uptake of the CAMARG service. Starting from the available basic technology the transnational nature of the CAMARG project will help developing an improved solution suitable to be configured and adapted to grasp at best the specific needs of every possible exploitation territory in the European MED area.;Consorzio IB Innovation;ITALY;40010;1st call;01/02/2017;31/07/2019;Testing;1.700.974,96;0,00;2.001.146,24;85%;Green Growth
